GSM2233972	GSM2233976	GSM2233978	GSM2233982	GSM2233983	GSM2233984	GSM2233985	GSM2233987	GSM2233988	GSM2233990	GSM2233991	GSM2233992	GSM2233993	GSM2233994	GSM2233995	GSM2233997	GSM2234002	GSM2234007	GSM2234010	GSM2234012
GDI1	10.92901514536	11.1048450400095	10.8211283714401	10.9069966680597	10.9120167533875	10.3487862703184	10.5551052981007	10.821110057154	10.3725408142164	10.9320637360215	10.9013310860371	10.9753171627926	10.8585493854149	10.8822089168899	10.7035749844835	10.9387204631855	10.7508153210148	10.8799863955146	10.6683676571998	10.6541967125888
PEBP1	10.5581856001181	11.0324435442295	11.2000021752876	11.0189878418257	10.8580946442268	10.1589791773645	11.1146719845508	10.671658529012	10.6495294924978	10.9076001418988	10.6498492278773	11.0632330477653	10.934266719263	10.950080454502	10.2650962495729	10.8748059522865	10.9556474203397	10.6470372356619	10.8699942885988	10.4617411469678
RPS4X	10.5822704930607	10.9840245692381	10.7890830016273	10.8479959359939	10.6714937400894	10.6845507339648	11.0205433553846	10.596930136985	11.2911301635785	10.8397869740305	10.5128806759216	10.0640705028778	10.8393743239782	10.7726001937746	10.788219563027	10.6339788585253	10.7346743387226	10.6802044279035	10.7395734987077	10.9687917051605
CAMK2N1	10.7219444125162	11.1996066121233	10.7730349056424	10.5497630500187	10.7640160110678	10.5220136622789	10.4806982046836	10.4538569241834	9.99758250994932	11.0782044496128	11.1073992725073	11.2471225032161	10.9968809205647	10.495531012691	9.95899778736194	11.0686412673578	11.1986946113915	10.6903383353607	10.8646448903984	10.428736423297
RPL9	10.3944787530441	10.5046483052082	10.7632291774886	10.5672224646057	10.9448352164941	10.891967115056	9.95397864144384	10.702969049623	10.9716841579003	11.0823373521377	10.6276086085518	10.6380136710133	11.08393486479	11.0590913994558	10.5592898210263	11.0006153255549	10.7679299552966	10.82775446824	10.9981199391482	10.6525550502731
RPL30	10.4483294428575	10.2067730931527	10.5660185327309	10.7811655301955	10.9508048563262	10.7748432892862	10.7408719494452	10.5538578378118	11.8044346626404	10.5637277998693	10.6762205900855	10.299228433546	10.8431382146954	10.9549124739279	10.9965245666004	10.6939965367412	10.6019889361955	10.9077098607622	10.9198543382871	11.3760050962027
RPL23A	10.3942218028288	10.8007333600461	10.6368832677384	10.6122320223472	10.7812224215097	10.4508750829917	10.9445390412132	10.5370158831673	11.0013455165355	10.7010954878525	10.6141097284084	10.1970901861706	10.6692755132862	10.7422532754515	10.6211572657458	10.6726628769847	10.533138851405	10.8277991605488	10.6891298931927	10.9246517669683
SNAP25	10.8808208922335	10.395375203022	11.1024584764233	10.3414089600699	10.3141353114399	9.76078737683651	11.0794766844253	11.1912649056619	9.08145527556686	11.3399039148832	10.6818652692581	11.2234076367683	11.0062640393973	10.8384806246316	9.73619198296403	10.9767621864595	11.4824968716396	10.5130815750104	10.7421157976433	9.24519525929803
PSAP	10.7905540803685	10.1957840930497	10.8958723165386	10.5934186110062	10.8986872046327	10.4627937782639	11.1031727709325	10.6843281847326	10.8171302335327	10.9605024284242	10.2747069158986	11.1081524778777	11.0027723647018	10.6881465758039	10.0072237968719	10.5286020318768	11.1229701873892	10.5861976778136	10.8432502074673	10.1212163075034
MT3	10.70587750933	11.0296668779835	10.4197034223726	10.9406014055418	11.135591357398	10.9581952987812	10.3648734971793	10.37973845615	11.2472776511861	10.5097971110741	10.7886185824465	10.0556159839941	10.8090442164497	11.3348210919307	11.1411296565077	10.5309047852665	10.2035825158234	10.9462962677025	10.8889488433078	10.8896388254077
SOD1	10.7983526783863	10.7667201386968	11.3172886217134	10.3506456772147	10.5629729403618	10.2793256165757	11.1350011786351	10.8855307764935	11.1317312805363	11.2494445805985	10.7206795631546	11.0931199002944	11.1873108694455	11.1924618222864	10.6917528174581	10.5995495542039	11.3039800878081	10.6579593984703	11.2333825862388	10.4980046651025
RPL32	10.1533476593973	10.6817583046749	10.6424237126111	10.5534877028854	10.5876735849086	10.6882407741252	10.860498642901	10.4699727532827	11.1747901467209	10.6748149299084	10.7323481551739	10.356743540769	10.8587394727492	10.7525299662014	10.7000706586441	10.5399772581058	10.5528456124844	10.7907709398947	10.6528303347376	10.9638125696672
GPM6B	10.8670640475758	10.5032212460917	10.388742044207	10.6040477740221	10.8894379221118	11.0379640844174	10.0942263815849	10.2067912074516	11.2837212420951	10.2331425223526	10.4141236579658	10.3675662152305	10.5849512842624	10.6934946236143	10.684712974262	10.4669080235841	10.3764835146757	10.7216670920236	10.60864065323	10.8652947026379
RPL19	10.3489318462914	10.5556314487754	10.6772898382513	10.2152281116076	10.7359953974654	10.7324675871997	11.5108424249445	10.4294305430719	11.1755460724103	10.4462844269285	10.5714692697095	10.3540371515682	10.7396762903731	10.822790961613	10.6230893456113	10.5796167995371	10.5630852339512	10.7193274411214	10.6731359705836	10.7667617533792
