Sample	Region	Class
GSM2234225	IFG	AD
GSM2234231	IFG	AD
GSM2234233	IFG	AD
GSM2234242	IFG	AD
GSM2234248	IFG	AD
GSM2234253	DPC	AD
GSM2234256	DPC	AD
GSM2234259	DPC	AD
GSM2234263	DPC	AD
GSM2234264	DPC	AD
GSM2234265	DPC	AD
GSM2234266	DPC	AD
GSM2234268	DPC	AD
GSM2234269	DPC	AD
GSM2234270	DPC	AD
GSM2234271	DPC	AD
GSM2234273	DPC	AD
GSM2234281	DPC	AD
GSM2234283	DPC	AD
GSM2234285	DPC	AD
GSM2234295	DPC	AD
GSM2234305	DPC	AD
GSM2234308	SPL	AD
GSM2234311	SPL	AD
GSM2234315	SPL	AD
GSM2234317	SPL	AD
GSM2234318	SPL	AD
GSM2234320	SPL	AD
GSM2234321	SPL	AD
GSM2234322	SPL	AD
GSM2234324	SPL	AD
GSM2234328	SPL	AD
GSM2234336	SPL	AD
GSM2234338	SPL	AD
GSM2234347	SPL	AD
GSM2234361	PFC	AD
GSM2234364	PFC	AD
GSM2234368	PFC	AD
GSM2234369	PFC	AD
GSM2234370	PFC	AD
GSM2234372	PFC	AD
GSM2234373	PFC	AD
GSM2234375	PFC	AD
GSM2234376	PFC	AD
GSM2234378	PFC	AD
GSM2234379	PFC	AD
GSM2234380	PFC	AD
GSM2234381	PFC	AD
GSM2234382	PFC	AD
GSM2234383	PFC	AD
GSM2234385	PFC	AD
GSM2234387	PFC	AD
GSM2234394	PFC	AD
GSM2234396	PFC	AD
GSM2234404	PFC	AD
GSM2234412	PFC	AD
GSM2234414	CN	AD
GSM2234415	CN	AD
GSM2234418	CN	AD
GSM2234419	CN	AD
GSM2234420	CN	AD
GSM2234422	CN	AD
GSM2234424	CN	AD
GSM2234425	CN	AD
GSM2234426	CN	AD
GSM2234427	CN	AD
GSM2234428	CN	AD
GSM2234430	CN	AD
GSM2234440	CN	AD
GSM2234442	CN	AD
GSM2234444	CN	AD
GSM2234446	CN	AD
GSM2234453	CN	AD
GSM2234464	CN	AD
GSM2234467	HIP	AD
GSM2234475	HIP	AD
GSM2234476	HIP	AD
GSM2234477	HIP	AD
GSM2234478	HIP	AD
GSM2234479	HIP	AD
GSM2234481	HIP	AD
GSM2234482	HIP	AD
GSM2234483	HIP	AD
GSM2234484	HIP	AD
GSM2234486	HIP	AD
GSM2234493	HIP	AD
GSM2234495	HIP	AD
GSM2234497	HIP	AD
GSM2234498	HIP	AD
GSM2234499	HIP	AD
GSM2234501	HIP	AD
GSM2234510	HIP	AD
GSM2234525	PUT	AD
GSM2234528	PUT	AD
GSM2234529	PUT	AD
GSM2234530	PUT	AD
GSM2234531	PUT	AD
GSM2234532	PUT	AD
GSM2234533	PUT	AD
GSM2234534	PUT	AD
GSM2234535	PUT	AD
GSM2234536	PUT	AD
GSM2234537	PUT	AD
GSM2234539	PUT	AD
GSM2234544	PUT	AD
GSM2234550	PUT	AD
GSM2234552	PUT	AD
GSM2234553	PUT	AD
GSM2234561	PUT	AD
GSM2234568	PUT	AD
GSM2234570	PUT	AD
GSM2234571	PUT	AD
GSM2233534	AMY	AD
GSM2233535	AMY	AD
GSM2233537	AMY	AD
GSM2233538	AMY	AD
GSM2233539	AMY	AD
GSM2233540	AMY	AD
GSM2233541	AMY	AD
GSM2233542	AMY	AD
GSM2233544	AMY	AD
GSM2233547	AMY	AD
GSM2233549	AMY	AD
GSM2233550	AMY	AD
GSM2233551	AMY	AD
GSM2233552	AMY	AD
GSM2233555	AMY	AD
GSM2233562	AMY	AD
GSM2233569	AMY	AD
GSM2233584	NUA	AD
GSM2233585	NUA	AD
GSM2233587	NUA	AD
GSM2233588	NUA	AD
GSM2233589	NUA	AD
GSM2233590	NUA	AD
GSM2233591	NUA	AD
GSM2233593	NUA	AD
GSM2233594	NUA	AD
