TF	TF.1	score	module
ZNF250	ZNF175	1	AC-AD-7
ZMYM2	FOXJ2	1	AC-AD-7
ZNF512B	ZMYM2	1	AC-AD-7
ZMYM2	SNIP1	1	AC-AD-7
ZMYM2	ZBTB24	1	AC-AD-7
ZNF224	PRMT5	1	AC-AD-7
CHAF1B	CHAF1A	1	AC-AD-7
CHAF1B	CBX5	1	AC-AD-7
PPARGC1A	NR1I2	1	AC-AD-7
NR1I2	NCOA6	1	AC-AD-7
NR1I2	NCOA2	1	AC-AD-7
SQSTM1	CHAF1A	1	AC-AD-7
FOXH1	ARID3B	1	AC-AD-7
HEY2	HAND1	1	AC-AD-7
SUPT16H	CTR9	1	AC-AD-7
TOX4	CTR9	1	AC-AD-7
PAF1	CTR9	1	AC-AD-7
CTR9	CDC73	1	AC-AD-7
SRCAP	SAFB2	1	AC-AD-7
HDAC4	CBX5	1	AC-AD-7
ZBTB7B	HDAC4	1	AC-AD-7
MORC2	HDAC4	1	AC-AD-7
UBN1	HDAC4	1	AC-AD-7
TAF9B	HDAC4	1	AC-AD-7
ZBTB24	HMBOX1	1	AC-AD-7
ZNF512B	TOX4	1	AC-AD-7
TOX4	BANP	1	AC-AD-7
ZBTB7B	ZBTB5	1	AC-AD-7
PPARGC1A	NR1H4	1	AC-AD-7
NR1H4	NCOA6	1	AC-AD-7
NR1H4	CARM1	1	AC-AD-7
PPARGC1A	MED16	1	AC-AD-7
MED25	MED16	1	AC-AD-7
PAF1	CHAF1A	1	AC-AD-7
CHAF1A	CBX5	1	AC-AD-7
ZBTB7B	CEBPZ	1	AC-AD-7
PHF21A	HMG20B	1	AC-AD-7
IRF9	ARID3B	1	AC-AD-7
PRMT5	CBX5	1	AC-AD-7
PRMT5	PIAS4	1	AC-AD-7
PRMT5	MCRS1	1	AC-AD-7
NCOA2	CARM1	1	AC-AD-7
SRCAP	CARM1	1	AC-AD-7
NCOA2	FOXJ2	1	AC-AD-7
WDHD1	NCOA2	1	AC-AD-7
NCOA2	CC2D1A	1	AC-AD-7
SRCAP	NCOA2	1	AC-AD-7
ZNF274	CBX5	1	AC-AD-7
PPARGC1A	NCOA6	1	AC-AD-7
SUPT16H	PSIP1	1	AC-AD-7
WDHD1	FOXJ2	1	AC-AD-7
SUPT16H	PAF1	1	AC-AD-7
NCOA6	DICER1	1	AC-AD-7
RYBP	AUTS2	1	AC-AD-7
RYBP	PCGF1	1	AC-AD-7
PCGF1	CBX7	1	AC-AD-7
ZZZ3	PBXIP1	1	AC-AD-7
PHF21A	BANP	1	AC-AD-7
ZNF512B	PIAS4	1	AC-AD-7
SNIP1	PIAS4	1	AC-AD-7
PAF1	CDC73	1	AC-AD-7
