TF	target	score	module
CIITA	MRPL46	1	AC-AD-7
CIITA	NUDT3	1	AC-AD-7
CIITA	PICALM	1	AC-AD-7
CIITA	RAP2A	1	AC-AD-7
CIITA	SLC9A1	1	AC-AD-7
CIITA	WSB1	1	AC-AD-7
CIITA	XRCC1	1	AC-AD-7
COBLL1	CALM1	1	AC-AD-7
COBLL1	MAT2A	1	AC-AD-7
COBLL1	SPTB	1	AC-AD-7
COBLL1	ZNF148	1	AC-AD-7
CREB3	CHD4	1	AC-AD-7
CREB3	LRRC41	1	AC-AD-7
CREB3	SEC14L1	1	AC-AD-7
CREB3	TBCD	1	AC-AD-7
CREB3	VASP	1	AC-AD-7
CREB3	WSB1	1	AC-AD-7
CREB3L2	AP2B1	1	AC-AD-7
CREB3L2	PRKCI	1	AC-AD-7
CSHL1	ARFRP1	1	AC-AD-7
CSHL1	GNAI2	1	AC-AD-7
CSHL1	MBP	1	AC-AD-7
CSHL1	TNPO2	1	AC-AD-7
CTR9	HNRNPU	1	AC-AD-7
CUX1	AIP	1	AC-AD-7
CUX1	AKAP1	1	AC-AD-7
CUX1	CAB39L	1	AC-AD-7
CUX1	CCT8	1	AC-AD-7
CUX1	CEP350	1	AC-AD-7
CUX1	CLIP4	1	AC-AD-7
CUX1	CRADD	1	AC-AD-7
CUX1	DEDD	1	AC-AD-7
CUX1	FEZ2	1	AC-AD-7
CUX1	HMGB1	1	AC-AD-7
CUX1	MBP	1	AC-AD-7
CUX1	OGDH	1	AC-AD-7
CUX1	PCBP2	1	AC-AD-7
CUX1	PLEKHA5	1	AC-AD-7
CUX1	PRKCI	1	AC-AD-7
CUX1	SPAG9	1	AC-AD-7
CUX1	STX16	1	AC-AD-7
CUX1	TCF4	1	AC-AD-7
CUX1	YY1	1	AC-AD-7
DACH1	CAB39L	1	AC-AD-7
DACH1	CLIC4	1	AC-AD-7
DACH1	DGKG	1	AC-AD-7
DACH1	GLUL	1	AC-AD-7
DACH1	HADHA	1	AC-AD-7
DACH1	KPNB1	1	AC-AD-7
DACH1	MPDU1	1	AC-AD-7
DACH1	MRPL46	1	AC-AD-7
DACH1	OGDH	1	AC-AD-7
DACH1	PICALM	1	AC-AD-7
DACH1	RHOBTB3	1	AC-AD-7
DACH1	SLC46A3	1	AC-AD-7
DACH1	TBCD	1	AC-AD-7
DACH1	TXNL1	1	AC-AD-7
DBP	AAAS	1	AC-AD-7
DBP	CALU	1	AC-AD-7
DBP	CRADD	1	AC-AD-7
DBP	OGDH	1	AC-AD-7
DBP	PICK1	1	AC-AD-7
DBP	RNF167	1	AC-AD-7
DBP	SH2B1	1	AC-AD-7
DICER1	SCD	1	AC-AD-7
DIDO1	ABT1	1	AC-AD-7
DIDO1	ANKFY1	1	AC-AD-7
DIDO1	AP2B1	1	AC-AD-7
DIDO1	ARFRP1	1	AC-AD-7
DIDO1	ATF6	1	AC-AD-7
DIDO1	BBX	1	AC-AD-7
DIDO1	CALU	1	AC-AD-7
DIDO1	COX7A2	1	AC-AD-7
DIDO1	CRBN	1	AC-AD-7
DIDO1	FIG4	1	AC-AD-7
DIDO1	GMFB	1	AC-AD-7
DIDO1	GOLGA3	1	AC-AD-7
DIDO1	GPS2	1	AC-AD-7
DIDO1	HADHA	1	AC-AD-7
DIDO1	HMGB1	1	AC-AD-7
DIDO1	MAP3K7	1	AC-AD-7
DIDO1	MRPL33	1	AC-AD-7
DIDO1	PRKCI	1	AC-AD-7
DIDO1	PTPN11	1	AC-AD-7
DIDO1	RALA	1	AC-AD-7
DIDO1	SEC14L1	1	AC-AD-7
DIDO1	SLC9A1	1	AC-AD-7
DIDO1	STX16	1	AC-AD-7
DIDO1	TBCD	1	AC-AD-7
DIDO1	TNPO2	1	AC-AD-7
DIDO1	TXNL1	1	AC-AD-7
DIDO1	WSB1	1	AC-AD-7
DIDO1	ZNF212	1	AC-AD-7
DIDO1	ZNF292	1	AC-AD-7
DIDO1	ZNF331	1	AC-AD-7
DLX2	LRRC41	1	AC-AD-7
DLX2	MBP	1	AC-AD-7
DLX2	PRKCI	1	AC-AD-7
DLX2	SLC9A1	1	AC-AD-7
DLX2	SLCO2B1	1	AC-AD-7
DLX4	AAAS	1	AC-AD-7
DLX4	CAB39L	1	AC-AD-7
DLX4	CCT8	1	AC-AD-7
DLX4	COX7A2	1	AC-AD-7
DLX4	FEZ2	1	AC-AD-7
DLX4	GOLGA3	1	AC-AD-7
DLX4	MAP3K7	1	AC-AD-7
DLX4	MRPL46	1	AC-AD-7
DLX4	OGDH	1	AC-AD-7
DLX4	RAB3GAP1	1	AC-AD-7
DLX4	RABL3	1	AC-AD-7
DLX4	RNF167	1	AC-AD-7
DLX4	SH2B1	1	AC-AD-7
DLX4	SLC25A36	1	AC-AD-7
DLX4	VASP	1	AC-AD-7
DLX6	AP2B1	1	AC-AD-7
DLX6	DEDD	1	AC-AD-7
DLX6	GOLGA3	1	AC-AD-7
DLX6	HMGB1	1	AC-AD-7
DLX6	KLF6	1	AC-AD-7
DLX6	KPNB1	1	AC-AD-7
DLX6	LRRC41	1	AC-AD-7
DLX6	MPDU1	1	AC-AD-7
DLX6	MRPL46	1	AC-AD-7
DLX6	PRKCI	1	AC-AD-7
DLX6	PSAT1	1	AC-AD-7
DLX6	RALA	1	AC-AD-7
DLX6	SCARB2	1	AC-AD-7
DLX6	SPAG9	1	AC-AD-7
DLX6	VASP	1	AC-AD-7
DLX6	ZNF292	1	AC-AD-7
DMRT1	BRD2	1	AC-AD-7
DMRT1	DEDD	1	AC-AD-7
DMRT1	KPNB1	1	AC-AD-7
DMRT1	MRPL46	1	AC-AD-7
DMRT1	PRKCI	1	AC-AD-7
DMRT1	PSAT1	1	AC-AD-7
DMRT1	SH2B1	1	AC-AD-7
DNMT1	ARFRP1	1	AC-AD-7
DNMT1	CCDC71	1	AC-AD-7
DNMT1	TTLL12	1	AC-AD-7
DNMT1	TXNIP	1	AC-AD-7
DNMT1	UBE2G2	1	AC-AD-7
DNMT1	ZFR	1	AC-AD-7
DNMT3A	DYNC1LI2	1	AC-AD-7
DNMT3A	GNB2	1	AC-AD-7
DNMT3A	HADHA	1	AC-AD-7
DNMT3A	HNRNPU	1	AC-AD-7
DNMT3A	HYAL2	1	AC-AD-7
DNMT3A	PCBP2	1	AC-AD-7
DNMT3A	PRKCI	1	AC-AD-7
DNMT3A	RNF19A	1	AC-AD-7
DYRK1A	AKAP1	1	AC-AD-7
DYRK1A	ANKFY1	1	AC-AD-7
DYRK1A	ANKRD36B	1	AC-AD-7
DYRK1A	ASXL1	1	AC-AD-7
DYRK1A	CCT8	1	AC-AD-7
DYRK1A	CEP350	1	AC-AD-7
DYRK1A	MAP3K7	1	AC-AD-7
DYRK1A	NKTR	1	AC-AD-7
DYRK1A	NOL9	1	AC-AD-7
DYRK1A	PURA	1	AC-AD-7
DYRK1A	RC3H2	1	AC-AD-7
DYRK1A	RNF167	1	AC-AD-7
DYRK1A	TCF4	1	AC-AD-7
